"filename", "language", "Vue", "JavaScript", "CSS", "Less", "comment", "blank", "total"
"c:\Users\LIULIB\Desktop\mobile-shop\src\App.vue", "Vue", 30, 0, 0, 0, 3, 2, 35
"c:\Users\LIULIB\Desktop\mobile-shop\src\api\base.js", "JavaScript", 0, 4, 0, 0, 3, 2, 9
"c:\Users\LIULIB\Desktop\mobile-shop\src\api\goods.js", "JavaScript", 0, 16, 0, 0, 6, 4, 26
"c:\Users\LIULIB\Desktop\mobile-shop\src\api\index.js", "JavaScript", 0, 8, 0, 0, 7, 2, 17
"c:\Users\LIULIB\Desktop\mobile-shop\src\api\operations.js", "JavaScript", 0, 8, 0, 0, 4, 4, 16
"c:\Users\LIULIB\Desktop\mobile-shop\src\api\users.js", "JavaScript", 0, 73, 0, 0, 22, 4, 99
"c:\Users\LIULIB\Desktop\mobile-shop\src\assets\area.js", "JavaScript", 0, 4041, 0, 0, 0, 1, 4042
"c:\Users\LIULIB\Desktop\mobile-shop\src\assets\common.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\LIULIB\Desktop\mobile-shop\src\assets\common.less", "Less", 0, 0, 0, 0, 0, 1, 1
"c:\Users\LIULIB\Desktop\mobile-shop\src\assets\public.css", "CSS", 0, 0, 88, 0, 0, 22, 110
"c:\Users\LIULIB\Desktop\mobile-shop\src\components\BetterScroll.vue", "Vue", 100, 0, 0, 0, 16, 8, 124
"c:\Users\LIULIB\Desktop\mobile-shop\src\components\Loading.vue", "Vue", 34, 0, 0, 0, 0, 2, 36
"c:\Users\LIULIB\Desktop\mobile-shop\src\components\Search.vue", "Vue", 16, 0, 0, 0, 0, 2, 18
"c:\Users\LIULIB\Desktop\mobile-shop\src\components\Tabbar.vue", "Vue", 25, 0, 0, 0, 0, 2, 27
"c:\Users\LIULIB\Desktop\mobile-shop\src\components\Topbar.vue", "Vue", 27, 0, 0, 0, 0, 2, 29
"c:\Users\LIULIB\Desktop\mobile-shop\src\main.js", "JavaScript", 0, 90, 0, 0, 1, 5, 96
"c:\Users\LIULIB\Desktop\mobile-shop\src\pages\addressEdit.vue", "Vue", 108, 0, 0, 0, 5, 4, 117
"c:\Users\LIULIB\Desktop\mobile-shop\src\pages\addressManage.vue", "Vue", 94, 0, 0, 0, 6, 3, 103
"c:\Users\LIULIB\Desktop\mobile-shop\src\pages\browseHistory.vue", "Vue", 50, 0, 0, 0, 1, 3, 54
"c:\Users\LIULIB\Desktop\mobile-shop\src\pages\cart.vue", "Vue", 257, 0, 0, 0, 9, 4, 270
"c:\Users\LIULIB\Desktop\mobile-shop\src\pages\category.vue", "Vue", 157, 0, 0, 0, 7, 5, 169
"c:\Users\LIULIB\Desktop\mobile-shop\src\pages\collection.vue", "Vue", 64, 0, 0, 0, 3, 3, 70
"c:\Users\LIULIB\Desktop\mobile-shop\src\pages\confirmOrder.vue", "Vue", 144, 0, 0, 0, 4, 3, 151
"c:\Users\LIULIB\Desktop\mobile-shop\src\pages\goodsDetail.vue", "Vue", 208, 0, 0, 0, 6, 3, 217
"c:\Users\LIULIB\Desktop\mobile-shop\src\pages\index.vue", "Vue", 423, 0, 0, 0, 23, 4, 450
"c:\Users\LIULIB\Desktop\mobile-shop\src\pages\login.vue", "Vue", 258, 0, 0, 0, 10, 4, 272
"c:\Users\LIULIB\Desktop\mobile-shop\src\pages\orderManage.vue", "Vue", 106, 0, 0, 0, 3, 3, 112
"c:\Users\LIULIB\Desktop\mobile-shop\src\pages\user.vue", "Vue", 212, 0, 0, 0, 10, 6, 228
"c:\Users\LIULIB\Desktop\mobile-shop\src\router\index.js", "JavaScript", 0, 82, 0, 0, 0, 5, 87
"c:\Users\LIULIB\Desktop\mobile-shop\src\store\actions.js", "JavaScript", 0, 0, 0, 0, 9, 1, 10
"c:\Users\LIULIB\Desktop\mobile-shop\src\store\getters.js", "JavaScript", 0, 14, 0, 0, 12, 2, 28
"c:\Users\LIULIB\Desktop\mobile-shop\src\store\index.js", "JavaScript", 0, 17, 0, 0, 1, 3, 21
"c:\Users\LIULIB\Desktop\mobile-shop\src\store\mutation-types.js", "JavaScript", 0, 9, 0, 0, 1, 1, 11
"c:\Users\LIULIB\Desktop\mobile-shop\src\store\mutations.js", "JavaScript", 0, 37, 0, 0, 9, 3, 49
"c:\Users\LIULIB\Desktop\mobile-shop\src\store\state.js", "JavaScript", 0, 9, 0, 0, 6, 1, 16
"c:\Users\LIULIB\Desktop\mobile-shop\src\utils\http.js", "JavaScript", 0, 50, 0, 0, 47, 7, 104
"c:\Users\LIULIB\Desktop\mobile-shop\src\utils\utils.js", "JavaScript", 0, 24, 0, 0, 9, 3, 36
"c:\Users\LIULIB\Desktop\mobile-shop\src\views\About.vue", "Vue", 5, 0, 0, 0, 0, 1, 6
"c:\Users\LIULIB\Desktop\mobile-shop\src\views\Home.vue", "Vue", 12, 0, 0, 0, 1, 4, 17
"c:\Users\LIULIB\Desktop\mobile-shop\src\vue.config.js", "JavaScript", 0, 13, 0, 0, 1, 1, 15
"Total", "-", 2330, 4495, 88, 0, 245, 141, 7299